"weight","start_lat","start_lon","stop_lat","stop_lon","start_area","stop_area"
"18","30.262468952380956","120.17748719047619","30.29357480952381","120.20659676190475","493","585"
"12.5","30.2440644","120.17749893333333","30.260823066666664","120.17428213333336","433","493"
"12","30.25020538461538","120.19052823076923","30.26539423076923","120.17300492307693","464","493"
"10","30.261713333333333","120.19344375000001","30.293616749999998","120.20628066666666","494","585"
"9","30.265184599999998","120.16230769999997","30.2548906","120.1638549","492","462"
"9","30.2644711","120.17523980000001","30.2564616","120.1630112","493","462"
"8.571428571428571","30.29389336363636","120.19760418181818","30.293115272727267","120.20603518181817","584","585"
"8.5","30.253890999999996","120.16417877777778","30.261627999999998","120.16298266666666","462","492"
"8.5","30.244676666666667","120.17668066666667","30.252644777777775","120.17483755555554","433","463"
"8.5","30.273847699999997","120.1800082","30.2935907","120.20585709999997","523","585"
"8","30.3223205","120.21639760000001","30.2935385","120.21070359999999","675","585"
"8","30.2931691","120.1488521","30.294218899999997","120.20783769999998","581","585"
"8","30.283484363636365","120.14557681818182","30.293563454545453","120.20679963636363","551","585"
"8","30.273012625","120.20556524999999","30.293028125","120.20928124999999","525","585"
"7.5","30.242463750000002","120.19508549999999","30.252078500000003","120.173988875","434","463"
"7.066666666666666","30.240814777777775","120.17724433333332","30.29308311111111","120.20796255555554","433","585"
"7","30.304788750000004","120.15121199999999","30.293481625000002","120.206752875","611","585"
"7","30.286006111111117","120.19461377777777","30.293802555555562","120.20575977777779","554","585"
"7","30.264298857142858","120.17615885714285","30.251187285714288","120.19231928571428","493","464"
"7","30.2944367","120.13188309999998","30.293551700000002","120.20998709999999","580","585"
"7","30.238457374999996","120.18297212500002","30.254277999999996","120.16268025","433","462"
"6.5","30.2765165","120.15147075000002","30.293531375000004","120.2067735","521","585"
"6.5","30.251998625000002","120.19226025","30.254972249999998","120.16439175000001","464","462"
"6.5","30.264813875","120.16120525000001","30.262176250000003","120.197133","492","494"
"6","30.254558","120.16615844444446","30.29373211111111","120.20620533333334","462","585"
"6","30.262768","120.1780497142857","30.252083857142857","120.17988700000001","493","463"
"6","30.262836875","120.16129587500001","30.263191749999997","120.17769824999999","492","493"
"5.5","30.263112571428568","120.17544442857142","30.262820142857144","120.162594","493","492"
"5.5","30.257342333333337","120.16060750000001","30.26019966666667","120.17326849999999","462","493"
"5.333333333333333","30.27533244444444","120.0988258888889","30.29373377777778","120.20747811111112","518","585"
"5","30.303710833333337","120.164559","30.29419516666667","120.20869616666668","612","585"
"5","30.28505066666667","120.1022261111111","30.293979777777775","120.20747566666667","548","585"
"5","30.2629934","120.1782752","30.275867400000003","120.17829280000001","493","523"
"5","30.293129333333336","120.14906749999999","30.28431383333334","120.161029","581","552"
"5","30.2652286","120.1613048","30.2659698","120.146894","492","491"
"5","30.293460599999996","120.2066296","30.293595399999997","120.2005602","585","584"
"5","30.272547000000003","120.15218666666668","30.28495033333333","120.1630905","521","552"
"5","30.2537144","120.1647514","30.2502218","120.1759118","462","463"
"5","30.2318018","120.16956580000002","30.2516446","120.1753518","402","463"
"5","30.274359875000002","120.115839","30.292777125","120.20898162499999","519","585"
"5","30.274419599999998","120.197478","30.265132400000006","120.1751596","524","493"
"4.5","30.2839424","120.1618928","30.293377399999997","120.20608379999999","552","585"
"4.5","30.29337714285714","120.21152099999999","30.261146857142858","120.19680457142859","585","494"
"4.5","30.294323000000002","120.1455698","30.262499400000003","120.1648884","581","492"
"4.5","30.283673000000004","120.115559","30.293669333333337","120.20927633333334","549","585"
"4.5","30.283640400000003","120.1644704","30.264723800000002","120.15946899999999","552","492"
"4.5","30.253108666666662","120.19207883333333","30.29324133333333","120.2055075","464","585"
"4.5","30.2632094","120.17831779999999","30.2846262","120.16400200000001","493","552"
"4.5","30.245901399999997","120.17647939999999","30.249210999999995","120.1891092","433","464"
"4","30.2965585","120.18582225","30.293676750000003","120.20479424999999","583","585"
"4","30.2825652","120.1466878","30.2445722","120.16253999999999","551","432"
"4","30.3036015","120.10292425","30.315773999999998","120.11004175","608","639"
"4","30.267270999999997","120.13216733333336","30.293555999999995","120.20845000000001","490","585"
"4","30.190851000000002","120.1581425","30.29350525","120.21099425","282","585"
"4","30.31607975","120.1322075","30.32437425","120.1355305","640","670"
"4","30.263945","120.18010749999999","30.261542499999997","120.19594825","493","494"
"4","30.28137675","120.1745705","30.27544575","120.12962449999999","553","520"
"4","30.32312575","120.15011475","30.3171655","120.16043725","671","642"
"4","30.292491800000004","120.1830152","30.265539999999998","120.175597","583","493"
"4","30.296164142857144","120.16040885714285","30.293637857142862","120.20630199999998","582","585"
"4","30.254786000000003","120.17780640000001","30.2550392","120.162151","463","462"
"4","30.262405","120.20777499999998","30.26336566666667","120.17493716666667","495","493"
"4","30.2647534","120.1985876","30.250734599999998","120.19197340000001","494","464"
"4","30.252480749999997","120.175848","30.259878999999998","120.195125","463","494"
"4","30.203991000000002","120.194904","30.21185375","120.20994974999999","314","345"
"4","30.343876666666663","120.19349","30.293299166666667","120.2072305","734","585"
"3.8333333333333335","30.324462","120.25312583333333","30.292605166666664","120.21004599999999","678","585"
"3.5","30.317015","120.21184674999999","30.294022","120.21078750000001","645","585"
"3.5","30.275550250000002","120.152421","30.29248725","120.15002650000001","521","581"
"3.5","30.2731228","120.129626","30.29336","120.20803000000001","520","585"
"3.5","30.27582925","120.16207800000001","30.253003749999998","120.16442","522","462"
"3.5","30.271417749999998","120.178968","30.2620415","120.1742925","523","493"
"3.5","30.273658833333332","120.08814100000001","30.294850166666663","120.20928066666666","517","585"
